,state,x,y
0,Arizona,-203,-40
1,Arkansas,57,-53
2,California,-297,13
3,Colorado,-112,20
4,Connecticut,297,96
5,Delaware,275,42
6,Florida,220,-145
7,Georgia,182,-75
8,Hawaii,-317,-143
9,Idaho,-216,122
10,Illinois,95,37
11,Indiana,133,39
12,Iowa,38,65
13,Kansas,-17,5
14,Kentucky,149,1
15,Louisiana,59,-114
16,Maine,319,164
17,Maryland,288,27
18,Massachusetts,312,112
19,Michigan,148,101
20,Minnesota,23,135
21,Mississippi,94,-78
22,Missouri,49,6
23,Montana,-141,150
24,Nebraska,-61,66
25,Nevada,-257,56
26,New Hampshire,302,127
27,New Jersey,282,65
28,New Mexico,-128,-43
29,New York,236,104
30,North Carolina,239,-22
31,North Dakota,-44,158
32,Oklahoma,-8,-41
33,Oregon,-278,138
34,Pennsylvania,238,72
35,Rhode Island,318,94
36,South Carolina,218,-51
37,South Dakota,-44,109
38,Tennessee,131,-34
39,Texas,-38,-106
40,Utah,-189,34
41,Vermont,282,154
42,Virginia,234,12
43,Washington,-257,193
44,West Virginia,200,20
45,Wisconsin,83,113
46,Wyoming,-134,90
